ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,log2(prob/prior)_human,log2(prob/prior)_mouse,depth_human,depth_mouse,pair_type
GSE64590,GSE102345,MONDO_0004989,MONDO_0100342,3.640189576581653,4.116155063299962,2,2,branch
GSE64912,GSE102345,MONDO_0015075,MONDO_0100342,4.71518788310569,4.116155063299962,2,2,branch
GSE65235,GSE65636,MONDO_0004643,MONDO_0006513,3.1307535291951107,1.2632275217228102,4,4,branch
GSE65335,GSE78696,MONDO_0019086,MONDO_0005575,2.997490861387391,4.103834393663368,3,3,branch
GSE65420,GSE41286,MONDO_0008903,MONDO_0004989,1.7233637949580105,1.055383358525064,2,2,branch
GSE65485,GSE79014,MONDO_0007256,MONDO_0008315,4.338894031969107,1.44468936594353,3,3,branch
GSE66036,GSE98048,MONDO_0005159,MONDO_0005138,5.783295455158481,3.15547578879245,2,2,branch
GSE66158,GSE85648,MONDO_0004989,MONDO_0002108,1.169253068202435,2.447948055629205,2,2,branch
GSE66200,GSE74762,MONDO_0100342,MONDO_0005096,3.662486314211148,1.9436286254909567,2,2,branch
GSE66301,GSE72942,MONDO_0005590,MONDO_0005233,2.804968208480883,2.300083368946061,3,3,branch
GSE66556,GSE71843,MONDO_0000376,MONDO_0005089,1.2613855159643623,2.869130899674688,1,1,branch
GSE66741,GSE63681,MONDO_0006295,MONDO_0000621,2.5706055306984235,1.287298778601344,1,1,branch
GSE66917,GSE70031,MONDO_0018874,MONDO_0011996,4.616381718519622,2.0667960145152926,5,5,branch
GSE67109,GSE67681,MONDO_0024331,MONDO_0008315,2.976331646978757,2.1655671934158662,3,3,branch
GSE67295,GSE80087,MONDO_0004989,MONDO_0100342,3.977069460520952,3.275844405550001,2,2,branch
GSE67713,GSE77410,MONDO_0005096,MONDO_0009831,1.8506221427675376,1.26695661687392,2,2,branch
GSE68042,GSE92301,MONDO_0007254,MONDO_0005159,1.3163098438087404,5.507770747563734,2,2,branch
GSE68228,GSE106901,MONDO_0007254,MONDO_0009831,3.350536823603404,2.2073039907770218,2,2,branch
GSE68297,GSE72942,MONDO_0005575,MONDO_0005233,1.971740095027698,2.300083368946061,3,3,branch
GSE68358,GSE93279,MONDO_0004989,MONDO_0009831,4.204687055773192,4.523134346641617,2,2,branch
GSE68452,GSE79889,MONDO_0002974,MONDO_0018177,1.773906043677948,2.091821608152164,4,4,branch
GSE68795,GSE60837,MONDO_0005233,MONDO_0005575,4.509924245425847,3.7276323927864814,3,3,branch
GSE68799,GSE59831,MONDO_0021345,MONDO_0005061,2.4920601191991816,4.5491169927936985,3,3,branch
GSE68800,GSE76724,MONDO_0016680,MONDO_0008315,3.248883323694679,3.360477932400424,3,3,branch
GSE68815,GSE60853,MONDO_0004989,MONDO_0001056,3.927704985436777,1.264389472644171,2,2,branch
GSE68872,GSE79014,MONDO_0010150,MONDO_0008315,3.851175134988732,1.44468936594353,3,3,branch
GSE68925,GSE76123,MONDO_0018874,MONDO_0011996,3.3714922772858005,1.719477574446753,5,5,branch
GSE69036,GSE71877,MONDO_0005575,MONDO_0005061,2.380369429090273,2.423129068639251,3,3,branch
GSE69114,GSE75589,MONDO_0004989,MONDO_0100342,3.1879060608406644,3.8467304571481216,2,2,branch
GSE69125,GSE108811,MONDO_0007254,MONDO_0009831,2.981785091515066,3.840439309773752,2,2,branch
GSE69164,GSE86895,MONDO_0007256,MONDO_0005575,4.648767563289617,2.542893678204769,3,3,branch
GSE69197,GSE89264,MONDO_0005086,MONDO_0021345,2.7748581633446925,2.1613140260026897,3,3,branch
GSE69240,GSE84759,MONDO_0004989,MONDO_0009831,2.737825849044043,3.788488394771003,2,2,branch
GSE69896,GSE76033,MONDO_0008315,MONDO_0005061,4.205313121814063,3.425567720763131,3,3,branch
GSE70073,GSE43028,MONDO_0008170,MONDO_0005061,4.6033028292953055,2.439355577406172,3,3,branch
GSE70078,GSE65665,MONDO_0008315,MONDO_0007256,5.082423311338246,4.245581591294792,3,3,branch
GSE70404,GSE87388,MONDO_0004989,MONDO_0009831,3.801983916920231,5.446786066050785,2,2,branch
GSE70537,GSE104264,MONDO_0007256,MONDO_0005061,3.0299197424859785,3.7650631842915256,3,3,branch
GSE70665,GSE77195,MONDO_0005515,MONDO_0001056,1.3041909543675831,1.206252572597246,2,2,branch
